date cases
2020-12-21 98
2020-12-22 85
2020-12-23 86
2020-12-24 38
2020-12-25 44
2020-12-26 27
2020-12-27 30
2020-12-28 86
2020-12-29 61
2020-12-30 85
2020-12-31 72
2021-01-01 38
2021-01-02 53
2021-01-03 42
2021-01-04 73
2021-01-05 93
2021-01-06 54
2021-01-07 92
2021-01-08 98
2021-01-09 56
2021-01-10 48
2021-01-11 85
2021-01-12 72
2021-01-13 60
2021-01-14 99
2021-01-15 70
2021-01-16 41
2021-01-17 44
2021-01-18 47
2021-01-19 92
2021-01-20 61
2021-01-21 91
2021-01-22 81
2021-01-23 39
2021-01-24 54
2021-01-25 85
2021-01-26 83
2021-01-27 106
2021-01-28 81
2021-01-29 63
2021-01-30 35
2021-01-31 48
2021-02-01 107
2021-02-02 77
2021-02-03 79
2021-02-04 84
2021-02-05 84
2021-02-06 67
2021-02-07 43
2021-02-08 78
2021-02-09 87
2021-02-10 71
2021-02-11 89
2021-02-12 105
2021-02-13 59
2021-02-14 49
2021-02-15 68
2021-02-16 99
2021-02-17 73
2021-02-18 88
2021-02-19 98
2021-02-20 60
2021-02-21 39
2021-02-22 101
2021-02-23 86
2021-02-24 105
2021-02-25 92
2021-02-26 106
2021-02-27 60
2021-02-28 34
2021-03-01 70
2021-03-02 84
2021-03-03 96
2021-03-04 98
2021-03-05 92
2021-03-06 48
2021-03-07 36
2021-03-08 88
2021-03-09 58
2021-03-10 84
2021-03-11 82
2021-03-12 86
2021-03-13 50
2021-03-14 50
2021-03-15 87
2021-03-16 57
2021-03-17 77
2021-03-18 99
2021-03-19 79
2021-03-20 53
2021-03-21 37
2021-03-22 85
2021-03-23 84
2021-03-24 84
2021-03-25 117
2021-03-26 135
2021-03-27 59
2021-03-28 44
2021-03-29 99
2021-03-30 87
2021-03-31 73
2021-04-01 74
2021-04-02 63
2021-04-03 41
2021-04-04 46
2021-04-05 116
2021-04-06 84
2021-04-07 114
2021-04-08 90
2021-04-09 92
2021-04-10 68
2021-04-11 47
2021-04-12 83
2021-04-13 80
2021-04-14 83
2021-04-15 88
2021-04-16 85
2021-04-17 56
2021-04-18 40
2021-04-19 76
2021-04-20 82
2021-04-21 92
2021-04-22 79
2021-04-23 71
2021-04-24 30
2021-04-25 42
2021-04-26 77
2021-04-27 80
2021-04-28 67
2021-04-29 94
2021-04-30 78
2021-05-01 39
2021-05-02 38
2021-05-03 89
2021-05-04 87
2021-05-05 66
2021-05-06 99
2021-05-07 117
2021-05-08 53
2021-05-09 43
2021-05-10 77
2021-05-11 92
2021-05-12 88
2021-05-13 96
2021-05-14 103
2021-05-15 45
2021-05-16 57
2021-05-17 89
2021-05-18 97
2021-05-19 110
2021-05-20 75
2021-05-21 85
2021-05-22 48
2021-05-23 60
2021-05-24 80
2021-05-25 93
2021-05-26 87
2021-05-27 86
2021-05-28 73
2021-05-29 48
2021-05-30 51
2021-05-31 53
2021-06-01 72
2021-06-02 77
2021-06-03 77
2021-06-04 85
2021-06-05 57
2021-06-06 45
2021-06-07 92
2021-06-08 97
2021-06-09 80
2021-06-10 101
2021-06-11 102
2021-06-12 56
2021-06-13 49
2021-06-14 94
2021-06-15 97
2021-06-16 101
2021-06-17 105
2021-06-18 100
2021-06-19 62
2021-06-20 47
2021-06-21 78
2021-06-22 114
2021-06-23 97
2021-06-24 78
2021-06-25 90
2021-06-26 56
2021-06-27 47
2021-06-28 103
2021-06-29 107
2021-06-30 63
2021-07-01 114
2021-07-02 89
2021-07-03 63
2021-07-04 43
